# Dragon Warrior Legacy - monster base stats
# Source: Dragon Warrior Legacy.dmb, class-table entry field +28 (per-type var init list).
# Regenerable cache. See notes/type-table-and-monsters.md for derivation and confidence.
#
# Column names are INFERRED - the var-name table has not been found, so these are read off
# values, not names. Confidence:
#   element          certain   - the stored values are literally element names
#   maxhp maxmp      high      - Metal Slime = 6 hp; maxmp present only on casters
#   level            high      - monotonic 1..40 across the roster
#   str agi vit int spr  high  - 5 consecutive var ids onto 5 consecutive stat strings
#   delay            high      - inversely monotonic with agi (4->24.8 .. 8->1.0 mean agi)
#   exp gold         medium    - equal on nearly every monster; ordered by Metal Slime only
#   flee             medium    - metal monsters highest, 0 on every boss; name is a guess
#
# 'delay' is lower = faster. Blank maxmp means the monster has no MP var at all.
path	name	level	maxhp	maxmp	str	agi	vit	int	spr	element	exp	gold	delay	flee
/mob/monster/icesloth	Ice Sloth	25	270		23	1	30	22	1	Ice	216	216	8	0
/mob/monster/iroid	Iroid	25	280		24	1	24	1	1	Plant	231	231	7	0
/mob/monster/darkpriest	Dark Priest	26	270	130	13	2	17	25	21	Darkness	253	253	7	20
/mob/monster/steelbones	Steel Bones	26	290		24	3	22	15	1	Iron	242	242	6	0
/mob/monster/fairydragon	Fairy Dragon	27	275	90	25	22	4	22	20	Air	264	264	5	20
/mob/monster/bengal	Bengal	28	315		26	14	23	10	1	Fire	275	275	6	0
/mob/monster/wizard	Wizard	28	275	150	1	4	2	25	24		286	286	7	0
/mob/monster/metalbabble	Metal Babble	29	8		20	18	750	750	30	Iron	885	94	4	20
/mob/monster/squid	Squid	29	320		26	8	25	1	1	Water	308	308	6	10
/mob/monster/frozenbones	Frozen Bones	30	325		27	14	25	10	1	Ice	312	312	6	0
/mob/monster/greendragon	Green Dragon	30	340	120	28	21	26	20	21	Plant	325	325	5	0
/mob/monster/cloudpuff	Cloud Puff	31	320		29	31	3	7	1	Air	339	339	4	10
/mob/monster/madclown	Mad Clown	31	310	180	16	18	1	29	32	Darkness	353	353	5	15
/mob/monster/cyclops	Cyclops	32	400		31	1	34	1	1		383	383	7	0
/mob/monster/magmaknight	Magma Knight	32	385		30	1	32	6	1	Fire	368	368	6	0
/mob/monster/bluelion	Blue Lion	33	400		32	23	21	20	1	Water	417	417	5	5
/mob/monster/infurnusknight	Infurnus Knight	33	415		32	2	30	8	1	Iron	399	399	6	0
/mob/monster/manticore	Manticore	34	450		33	17	31	21	12	Plant	437	437	5	0
/mob/monster/roguewhisper	Rogue Whisper	34	300	200	1	1	1	36	40	Ice	460	460	8	0
/mob/monster/bluedragon	Blue Dragon	35	450	135	35	30	15	30	25	Air	480	480	5	0
/mob/monster/specter	Specter	35	450	50	35	35	7	1	1	Darkness	499	499	6	0
/mob/monster/devil	Devil	36	460	260	10	20	5	38	42	Fire	545	545	5	0
/mob/monster/ferocial	Ferocial	36	520		36	16	35	5	1		525	525	6	0
/mob/monster/metalhealer	Metal Healer	37	10	70	30	25	900	900	40	Iron	1488	167	4	40
/mob/monster/necrodain	Necrodain	37	550		37	10	25	10	1	Darkness	567	567	6	0
/mob/monster/archbishop	Archbishop	38	520	280	20	1	10	40	40	Darkness	605	605	7	0
/mob/monster/iceknight	Ice Knight	38	580		37	1	37	12	1	Ice	586	586	7	0
/mob/monster/blacklion	Black Lion	39	530		39	36	14	18	1	Darkness	636	636	5	0
/mob/monster/lethalarmor	Lethal Armor	39	570		38	1	42	1	1	Iron	619	619	5	0
/mob/monster/necromancer	Necromancer	40	525	300	1	5	1	45	41	Darkness	650	650	7	0
/mob/monster/reddragon	Red Dragon	40	580	120	40	25	35	40	30	Fire	660	660	5	0
